Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Chad",TCD,168.11765824035,200.361007981131,225.947311123303,298.249881611787,460.067018066196,664.597656460819,716.667768586178,806.710317988614,936.49413616622,808.161522927009,896.876704216275,988.194160636686,969.616141908901,980.083544666224,1017.78776234557,774.411603146897
"Channel Islands",CHI,44318.2210969282,42678.2770294233,45279.6419356799,49428.3097589957,57200.4664639273,58550.6571723349,63665.3153474479,75148.3494360381,..,..,..,..,..,..,..,..
"Chile",CHL,5097.11493718915,4606.89056424429,4479.17504395379,4824.22054120463,6185.51479184893,7561.8305480446,9418.0627175215,10461.3660887507,10783.1708210632,10182.8605646819,12767.7820406263,14628.5724573037,15406.4928361503,15833.2759194461,14666.3431168586,13569.9481274733
"China",CHN,959.360412054851,1053.11227201705,1148.51418772689,1288.63754323945,1508.66794598726,1753.41426293188,2099.21934229104,2693.95855454419,3468.32706307504,3832.2274278698,4550.47392427081,5614.38573851229,6300.58235236313,7020.38568208449,7636.07422276004,8016.44601585644
"Colombia",COL,2546.85021319149,2465.00701127148,2421.16210341989,2305.17050671011,2811.45945015998,3448.53827356214,3782.60350413031,4762.08297292255,5534.68944688199,5245.9516649172,6392.75802564032,7392.9435995632,8096.80150977527,8263.64192942212,8167.47284156278,6228.65162186096
"Comoros",COM,654.180431028375,691.041978079673,761.947888368858,959.228988439711,1090.42716809181,1103.19541675686,1155.08567563573,1289.79485002154,1454.65090911662,1409.10667349477,1384.06328381602,1526.83263817748,1483.95155852999,1595.98981855871,1608.68787502176,1322.93677460001
"Congo, Dem. Rep.",COD,392.626333784131,148.447123509623,168.944805273879,167.981575409282,187.856781029954,211.572629515187,247.54193564633,277.612079551534,317.88920990316,290.155674944481,324.827725981436,376.374981122052,412.776260686934,444.864357393335,472.266235961574,482.064568490893
"Congo, Rep.",COG,1029.96068877345,859.44001217062,910.869711427704,1023.08849588639,1314.41127988059,1810.58894356777,2116.86894361816,2219.91230455325,2848.65316041483,2283.94987073631,2962.76247997267,3415.0623762032,3753.86092474115,3719.65103717713,3622.53007355844,2347.81850686004
"Costa Rica",CRI,3773.03379319679,3941.59864349203,4021.42536130228,4123.5064871039,4376.08042847261,4643.45856992587,5188.36179215965,6055.08677891562,6841.91145979684,6737.86075359038,8147.24398481032,9137.45510202159,9971.65165625728,10633.2665598785,10737.6788753949,11529.9551735671
"Cote d'Ivoire",CIV,986.777352862812,974.779985003245,1020.95049148511,1173.06388181658,1267.76482295749,1267.08731131078,1303.56496674484,1451.23253073094,1683.33750452715,1638.80468423899,1654.17795875222,1701.70464076523,1649.30161477828,1903.0542292873,2124.01943006075,1941.5818977126
"Croatia",HRV,4952.37775298931,5364.01024143422,6219.47321325884,8192.32263343511,9723.38102385632,10446.3604388687,11489.3912734101,13728.5210142825,15857.7122475904,14387.6566405193,13664.2088391124,14623.9905306334,13410.8208102542,13949.1217681988,13970.9832274478,12071.090955025
"Cuba",CUB,2752.20378269319,2844.24443674985,3007.19307369322,3205.68839767994,3403.29616311163,3791.87300608904,4336.87332999361,4814.85487568512,4992.82449445836,5094.43756186586,5275.53260105122,6106.0067919258,6467.33791422804,6814.24384354868,7117.52691001591,7683.75789050585
"Curacao",CUW,..,..,..,..,..,..,..,..,..,..,..,19446.4565747102,19886.6783682132,19762.739621629,19552.660553207,19260.269845345
"Cyprus",CYP,14388.34765625,14821.447265625,16093.21484375,20252.23828125,23792.62109375,24959.259765625,26729.32421875,31244.92578125,35397.36328125,32109.2421875,31105.02734375,32485.802734375,28991.9296875,27797.453125,27244.34375,23487.21875
"Czechia",CZE,6028.5826120265,6637.1065117699,8060.88881086776,9818.56849307488,11749.8755242156,13430.6605521291,15261.8088483267,18466.5782621236,22804.6222045964,19861.6974295256,19960.0684872157,21871.2660754128,19870.8012123403,20133.1691431353,19890.9199056648,17829.6983223668
"Denmark",DNK,30743.3796974953,30751.5896881994,33228.6339176661,40458.9411743486,46511.9347509801,48799.7442261767,52027.1890709689,58487.0460144465,64321.6744842874,58163.638529726,58041.3984363385,61753.647131977,58507.5080517852,61191.1937042028,62548.9847332908,53254.8563700916
"Djibouti",DJI,742.865697154312,747.779122941073,749.081632535869,771.374231644966,813.897943575246,852.890188282475,907.817943782596,980.031032399576,1131.63572564038,1164.25168346453,1227.82085311429,1322.72625083956,1418.46085811933,2102.19794830208,2239.11453821208,2409.31190224284
"Dominica",DMA,4879.14977277925,4991.76417331157,4881.13879312496,5016.08823691755,5354.79919503019,5304.12609656574,5677.05117470908,6126.84949580624,6661.46504737997,7109.9782527814,7182.40020254419,7288.49794777466,7054.87597689432,7240.67911908479,7498.91752183776,7724.04241057376
"Dominican Republic",DOM,2845.84660974677,2953.24792814874,3085.51786572269,2399.49812260147,2468.43681503623,3903.81518384433,4080.04571382126,4676.07911069651,5053.33029118417,5002.1532330508,5509.56805406696,5859.38154480292,6049.47161121834,6171.29506392047,6533.67096798065,6838.9367346602
"Ecuador",ECU,1451.53088517998,1904.81367007224,2184.209243808,2438.34368429156,2703.56567057465,3014.3100093159,3340.84090289849,3579.03224391806,4260.43318396471,4240.70259271564,4640.24634437845,5202.65645902066,5678.45572070003,6050.3546113274,6374.6314856366,6130.58667556768
"Egypt, Arab Rep.",EGY,1398.85983078672,1327.09651832991,1144.53239841974,1056.93720896595,1016.25388395628,1133.10546057176,1332.33941000282,1586.47292057972,1941.89997269337,2212.21814788932,2509.77203417522,2645.6225349104,3059.13542779204,3088.8908340843,3196.86138078687,3370.38244716015
"El Salvador",SLV,1977.84061443838,2051.15877420114,2106.73946874831,2197.48200095937,2273.95550275819,2434.32353117029,2651.43088765876,2814.58988893523,2964.172140237,2889.68588721937,3017.3073947577,3304.97418347889,3471.05126865498,3555.16209958481,3638.51765819162,3761.51368000275
"Equatorial Guinea",GNQ,1527.05637771592,2031.41938636331,2395.84511947529,3146.51857534028,5337.61438929676,9502.85881614782,11140.1901650513,13776.9033327262,19849.7177669705,14398.770485777,14905.5145697484,18659.4160360714,18756.4250106345,17644.5943098203,16804.9249314414,9788.98380398511
"Eritrea",ERI,295.19692403481,305.602758814279,286.297715435639,327.976020742636,401.374525156058,387.898540358605,420.528739757639,450.409713679088,459.178402670323,602.063223832873,504.972460176652,643.790042311239,..,..,..,..
"Estonia",EST,4070.60902410208,4505.85833233188,5341.62894677002,7203.52303786646,8914.10355674451,10412.6443137966,12639.4000677296,16744.5844516343,18204.9664786762,14711.7352728223,14663.0446126465,17487.8047830923,17403.2053254767,19056.0019226991,20261.0667303883,17402.0376128079
"Ethiopia",ETH,122.961664711668,119.261857260772,110.460874721483,117.860164733528,134.542486332684,160.076791772058,191.75129245508,240.347971955032,320.861089711683,373.893958712145,335.438495270931,348.001348291465,458.550920793057,490.792474148698,557.534148360438,630.312627132481
"Faroe Islands",FRO,23370.7732949015,25089.5911421528,27238.0249578611,31691.87847931,35940.9628622719,36440.3221972404,41762.6875127314,48365.736541995,51431.9747790046,47410.9585748736,48167.6675141519,51786.4854763583,50157.0627978002,55560.1361320443,60126.1292136722,52726.6887003408
"Fiji",FJI,2015.85749571271,1964.13025084253,2157.07659613693,2680.27020900823,3124.60738926325,3406.47515784893,3483.59718493626,3793.09738500959,3928.92173857964,3184.68912291481,3469.15022439864,4160.72158514781,4359.79284510059,4586.95616503226,5305.06340024667,5105.1900392223
"Finland",FIN,24345.9148217032,24967.7925153182,26997.7529897788,32927.6802919408,37772.1781110398,39054.8504423825,41222.6020004611,48476.3927287052,53772.7942390019,47481.4845364339,46505.3031791822,51148.9316365836,47708.0612784469,49892.2233632736,50327.2402902624,42801.9081167285
"France",FRA,22416.425417915,22449.3396931175,24288.2700193508,29627.92426353,33797.1624418436,34768.1759037525,36470.2128399313,41557.6235648179,45515.9617533473,41737.7635518137,40676.0647913191,43846.4660764801,40870.8523645734,42602.7179652671,43068.5487241732,36652.9223052178
"French Polynesia",PYF,14346.1862679009,14012.2429435635,15302.3518700754,18724.4915141544,20829.0657358439,21047.1929140771,21382.2357756157,23837.8175509387,25437.6684945766,23326.087445605,21447.8582280033,21747.9888848168,19864.5356818415,20941.5172242157,21223.0753984013,18252.5141345944
"Gabon",GAB,3991.15715123376,3844.56134784246,3976.64679909286,4724.25479690107,5483.1445716399,6570.96326967573,6873.45398408936,8036.91994764448,9732.22652388212,7325.90950786739,8399.59734429648,10273.7984510255,9348.51486808302,9250.08111738777,9255.3680370136,7090.45463415798
"Gambia, The",GMB,544.62095705756,464.639626277953,379.862417876486,310.95706474431,596.629279874933,618.959806240973,615.973928349442,725.092275166439,857.858239870456,772.124927899998,796.631838772059,705.477493908292,686.557560103613,647.385537546887,561.649639269727,611.671217782995
"Georgia",GEO,749.908534993961,801.983966035292,853.526171868939,1010.03151630868,1305.04748557208,1642.78359414797,1996.01975902728,2635.36702862759,3324.75446389929,2822.68923316472,3233.22035714481,4021.75420388069,4421.92981926543,4623.88471369397,4739.27780775509,4014.11224099111
"Germany",DEU,23694.7604830673,23628.3272122367,25197.2656001848,30310.3575963774,34106.6581224001,34520.2396492496,36353.8803343631,41640.0808695147,45612.7106221441,41650.3678297162,41572.4559481517,46705.8957963357,43855.8544658618,46298.9229177345,48023.8699845455,41103.2564363768
"Ghana",GHA,253.380211399084,263.170083406,297.046938744817,357.847847835689,405.424967567399,477.60083643103,904.169725065419,1047.19920885909,1178.95587732926,1044.00523662061,1258.96390342222,1501.05917129856,1536.61991568022,2282.40750113579,1942.92186873525,1711.27147078346
"Gibraltar",GIB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Greece",GRC,12072.9293569196,12549.036894906,14177.5721592705,18518.3788387396,21995.477943746,22560.1472939077,24821.9367451879,28863.9732885018,32127.9831943287,29828.7560245271,26716.648826028,25483.8825644933,21912.9982879517,21787.7877636036,21616.7100094905,18083.8779056547
