Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Germany,DEU,77.9268292682927,78.3292682926829,78.2292682926829,78.3804878048781,78.6804878048781,78.9317073170732,79.1317073170732,79.5341463414634,79.7365853658537,79.8365853658537,79.9878048780488,80.4365853658537,80.5390243902439,80.490243902439,81.090243902439,80.6414634146341
Ghana,GHA,58.195,58.107,58.608,59.111,59.191,59.76,59.988,60.224,60.49,60.946,61.157,61.652,62.081,62.42,63.045,63.175
Gibraltar,GIB,81.37,81.087,80.26,79.694,80.948,81.442,80.393,78.514,80.13,81.243,80.958,81.871,83.366,80.55,81.882,80.427
Greece,GRC,77.8878048780488,78.3878048780488,78.6414634146341,78.8414634146341,79.0390243902439,79.2390243902439,79.4390243902439,79.4390243902439,79.9390243902439,80.1878048780488,80.3878048780488,80.7317073170732,80.6341463414634,81.2853658536585,81.3853658536585,81.0365853658537
Greenland,GRL,66.1007317073171,66.7348780487805,67.1529268292683,68.0224390243903,68.6439024390244,68.4224390243902,68.6165853658537,69.3229268292683,70.0151219512195,70.5280487804878,70.2919512195122,69.8248780487805,70.55,71.5734146341464,71.9856097560976,71.9773170731707
Grenada,GRD,72.783,73.118,73.167,73.188,71.788,73.521,73.7,74.317,74.656,75.036,74.999,75.295,75.042,75.116,74.985,75.013
Guam,GUM,74.417,75.41,75.793,76.504,76.923,77.182,77.136,77.098,77.185,77.094,76.879,76.872,76.707,76.72,76.749,76.616
Guatemala,GTM,67.446,67.946,68.386,68.797,69.165,69.168,69.812,70.1,70.356,70.641,70.878,71.177,71.463,71.728,71.964,72.103
Guinea,GIN,52.479,52.662,53.278,53.678,54.117,54.632,55.108,55.553,56.044,56.348,56.72,57.019,57.406,57.791,57.886,58.134
Guinea-Bissau,GNB,50.121,50.445,50.986,51.405,52.15,52.249,53.371,54.155,54.646,55.541,56.23,56.967,57.69,58.232,58.61,59.128
Guyana,GUY,64.483,64.788,64.728,64.6,64.93,65.132,65.667,66.254,66.288,66.563,66.743,66.982,67.23,67.473,67.882,68.201
Haiti,HTI,58.365,58.489,58.855,59.507,58.475,60.415,60.763,61.103,61.332,61.741,46.019,61.623,62.291,62.605,62.987,63.237
Honduras,HND,68.662,69.006,69.366,69.507,69.796,70.104,70.261,70.376,70.441,70.911,71.088,71.439,71.734,71.963,72.259,72.487
Hong Kong SAR, China,HKG,80.8780487804878,81.4243902439025,81.4268292682927,81.3780487804878,81.8292682926829,81.6292682926829,82.3756097560976,82.3268292682927,82.3756097560976,82.7756097560976,82.9780487804878,83.4219512195122,83.4804878048781,83.8317073170732,83.9804878048781,84.2780487804878
Hungary,HUN,71.2463414634146,72.2487804878049,72.3487804878049,72.3,72.6487804878049,72.6487804878049,73.0975609756098,73.1512195121951,73.7024390243903,73.9048780487805,74.2073170731707,74.8585365853659,75.0634146341463,75.5658536585366,75.7634146341463,75.5682926829269
Iceland,ISL,79.6536585365854,80.690243902439,80.5024390243903,80.9634146341464,80.9975609756098,81.5024390243902,81.1585365853659,81.4536585365854,81.609756097561,81.7512195121951,81.8975609756097,82.3585365853659,82.9170731707317,82.0609756097561,82.8609756097561,82.4682926829268
India,IND,62.669,63.091,63.616,64.094,64.524,64.996,65.412,65.788,66.149,66.513,66.909,67.359,67.887,68.46,69.074,69.636
Indonesia,IDN,66.433,66.758,67.134,67.413,65.75,67.649,67.914,68.189,68.226,68.494,68.679,68.823,68.973,69.264,69.533,69.699
